Node1,Node2,Weight
2613,2671,3
2671,2613,3
2464,2548,3
2548,2464,3
2612,3200,2
3200,2612,2
1929,2389,4
2389,1929,4
1640,2286,1
2286,1640,1
1627,1650,3
1650,1627,3
3573,3894,4
3894,3573,4
2766,2862,3
2862,2766,3
2485,2620,4
2620,2485,4
902,1367,4
1367,902,4
2729,2980,1
2980,2729,1
2077,2236,3
2236,2077,3
1694,1717,2
1717,1694,2
449,459,3
459,449,3
2833,2929,3
2929,2833,3
164,475,4
475,164,4
3572,3618,2
3618,3572,2
23,593,1
593,23,1
2595,3114,3
3114,2595,3
2250,2298,2
2298,2250,2
3442,3521,2
3521,3442,2
279,532,3
532,279,3
1267,1575,1
1575,1267,1
2670,3018,1
3018,2670,1
54,548,1
548,54,1
1188,1416,4
1416,1188,4
2182,2274,4
2274,2182,4
3326,3830,1
3830,3326,1
499,790,3
790,499,3
1303,1524,4
1524,1303,4
1700,2099,2
2099,1700,2
20,159,2
159,20,2
3810,4000,1
4000,3810,1
2440,3040,2
3040,2440,2
415,688,1
688,415,1
2497,2793,2
2793,2497,2
1903,2054,4
2054,1903,4
28,400,4
400,28,4
2047,2183,2
2183,2047,2
2100,2167,3
2167,2100,3
2951,3097,4
3097,2951,4
2069,2076,3
2076,2069,3
1819,1901,4
1901,1819,4
2125,2358,1
2358,2125,1
495,535,3
535,495,3
99,535,2
535,99,2
2461,2657,4
2657,2461,4
2617,3170,3
3170,2617,3
203,484,1
484,203,1
2968,2996,3
2996,2968,3
2642,3011,2
3011,2642,2
463,542,2
542,463,2
823,1235,2
1235,823,2
169,445,1
445,169,1
3030,3069,4
3069,3030,4
866,1312,4
1312,866,4
186,799,2
799,186,2
2893,2956,3
2956,2893,3
524,794,4
794,524,4
2449,2915,4
2915,2449,4
916,1025,4
1025,916,4
1569,1590,2
1590,1569,2
1665,2052,3
2052,1665,3
40,573,3
573,40,3
2953,2956,1
2956,2953,1
391,399,3
399,391,3
13,224,2
224,13,2
1728,2350,1
2350,1728,1
3705,3907,3
3907,3705,3
2471,2808,4
2808,2471,4
2276,2340,3
2340,2276,3
748,794,4
794,748,4
3558,3830,4
3830,3558,4
2132,2187,1
2187,2132,1
816,1463,3
1463,816,3
2582,2773,1
2773,2582,1
2621,2701,2
2701,2621,2
2139,2203,2
2203,2139,2
2735,2988,2
2988,2735,2
265,370,1
370,265,1
3375,3698,2
3698,3375,2
3489,3985,3
3985,3489,3
3395,3569,3
3569,3395,3
1273,1284,3
1284,1273,3
814,935,3
935,814,3
3444,3811,4
3811,3444,4
297,601,3
601,297,3
2407,2502,2
2502,2407,2
2852,3118,2
3118,2852,2
878,1485,4
1485,878,4
2707,3144,4
3144,2707,4
2519,3093,4
3093,2519,4
3300,3658,3
3658,3300,3
3446,3483,4
3483,3446,4
3603,3817,2
3817,3603,2
1085,1532,1
1532,1085,1
3693,3710,2
3710,3693,2
2571,2852,2
2852,2571,2
259,443,1
443,259,1
151,351,4
351,151,4
3701,3951,3
3951,3701,3
3510,3602,3
3602,3510,3
208,454,2
454,208,2
858,1502,2
1502,858,2
908,1215,1
1215,908,1
957,1107,4
1107,957,4
1797,2252,1
2252,1797,1
2638,2868,2
2868,2638,2
2410,2637,1
2637,2410,1
2009,2293,3
2293,2009,3
2404,2822,4
2822,2404,4
432,481,3
481,432,3
1712,1898,3
1898,1712,3
240,661,1
661,240,1
1958,2304,4
2304,1958,4
3595,3793,1
3793,3595,1
1773,2150,1
2150,1773,1
1934,2253,4
2253,1934,4
879,1119,4
1119,879,4
2806,2936,2
2936,2806,2
3740,3743,2
3743,3740,2
1185,1576,1
1576,1185,1
3655,3820,1
3820,3655,1
945,1365,4
1365,945,4
1786,1981,2
1981,1786,2
3222,3938,2
3938,3222,2
1194,1288,2
1288,1194,2
1631,2043,4
2043,1631,4
2817,3071,4
3071,2817,4
2428,2737,4
2737,2428,4
560,719,2
719,560,2
114,632,4
632,114,4
117,149,2
149,117,2
3677,3713,2
3713,3677,2
79,796,2
796,79,2
3218,3364,2
3364,3218,2
2343,2383,1
2383,2343,1
1400,1490,1
1490,1400,1
3388,3960,2
3960,3388,2
2548,2788,2
2788,2548,2
3422,3544,3
3544,3422,3
579,745,3
745,579,3
844,1551,1
1551,844,1
3303,3606,4
3606,3303,4
877,910,2
910,877,2
3544,3668,3
3668,3544,3
3635,3786,2
3786,3635,2
1732,2363,2
2363,1732,2
2867,3052,4
3052,2867,4
3210,3391,4
3391,3210,4
992,1398,4
1398,992,4
1640,1969,3
1969,1640,3
3523,3864,1
3864,3523,1
3562,3792,1
3792,3562,1
3483,3684,1
3684,3483,1
2427,3079,2
3079,2427,2
3664,3695,3
3695,3664,3
2883,3130,4
3130,2883,4
1752,2159,3
2159,1752,3
1447,1523,3
1523,1447,3
1651,1703,2
1703,1651,2
1707,1985,4
1985,1707,4
1813,2381,2
2381,1813,2
280,491,2
491,280,2
1857,1929,1
1929,1857,1
3728,3814,4
3814,3728,4
2407,2746,1
2746,2407,1
1032,1415,1
1415,1032,1
1124,1354,4
1354,1124,4
1026,1196,2
1196,1026,2
3254,3907,1
3907,3254,1
103,174,1
174,103,1
2465,3050,2
3050,2465,2
1434,1556,2
1556,1434,2
254,693,2
693,254,2
3419,3728,1
3728,3419,1
1050,1566,1
1566,1050,1
3483,3497,3
3497,3483,3
3521,3954,3
3954,3521,3
2482,2599,3
2599,2482,3
2141,2306,3
2306,2141,3
3075,3113,4
3113,3075,4
1014,1454,2
1454,1014,2
2593,2938,4
2938,2593,4
2551,2712,2
2712,2551,2
2556,3056,4
3056,2556,4
1802,2035,3
2035,1802,3
1952,1979,4
1979,1952,4
3493,3760,1
3760,3493,1
3895,3925,4
3925,3895,4
630,659,2
659,630,2
1771,1917,4
1917,1771,4
44,161,1
161,44,1
3251,3422,4
3422,3251,4
236,331,4
331,236,4
1691,2338,4
2338,1691,4
3455,3602,4
3602,3455,4
2527,2960,2
2960,2527,2
3513,3957,4
3957,3513,4
2575,2627,2
2627,2575,2
2442,3037,1
3037,2442,1
2689,2914,1
2914,2689,1
472,742,1
742,472,1
1942,2283,4
2283,1942,4
2543,2688,1
2688,2543,1
3482,3839,3
3839,3482,3
2446,2755,2
2755,2446,2
1302,1549,3
1549,1302,3
77,189,1
189,77,1
912,990,3
990,912,3
929,1344,4
1344,929,4
44,779,2
779,44,2
1225,1463,3
1463,1225,3
2008,2074,3
2074,2008,3
938,1406,4
1406,938,4
1617,1694,2
1694,1617,2
1636,2094,4
2094,1636,4
487,544,4
544,487,4
2871,3014,1
3014,2871,1
3368,3820,4
3820,3368,4
2219,2270,1
2270,2219,1
2776,3127,3
3127,2776,3
2124,2383,2
2383,2124,2
3017,3189,1
3189,3017,1
1642,1885,3
1885,1642,3
